"","s"
"1","Matthew 9:36 
 But when he saw the multitudes, he was moved with compassion on them, because they fainted, and were scattered abroad, as sheep having no shepherd. 
"
"2","Matthew 14:14 
 And Jesus went forth, and saw a great multitude, and was moved with compassion toward them, and he healed their sick. 
"
"3","Matthew 15:32 
 Then Jesus called his disciples unto him, and said, I have compassion on the multitude, because they continue with me now three days, and have nothing to eat: and I will not send them away fasting, lest they faint in the way. 
"
"4","Matthew 18:27 
 Then the lord of that servant was moved with compassion, and loosed him, and forgave him the debt. 
"
"5","Matthew 18:33 
 Shouldest not thou also have had compassion on thy fellowservant, even as I had pity on thee? 
"
"6","Matthew 20:34 
 So Jesus had compassion on them, and touched their eyes: and immediately their eyes received sight, and they followed him. 
"
"7","Mark 1:41 
 And Jesus, moved with compassion, put forth his hand, and touched him, and saith unto him, I will; be thou clean. 
"
"8","Mark 5:19 
 Howbeit Jesus suffered him not, but saith unto him, Go home to thy friends, and tell them how great things the Lord hath done for thee, and hath had compassion on thee. 
"
"9","Mark 6:34 
 And Jesus, when he came out, saw much people, and was moved with compassion toward them, because they were as sheep not having a shepherd: and he began to teach them many things. 
"
"10","Mark 8:2 
 I have compassion on the multitude, because they have now been with me three days, and have nothing to eat: 
"
"11","Mark 9:22 
 And ofttimes it hath cast him into the fire, and into the waters, to destroy him: but if thou canst do any thing, have compassion on us, and help us. 
"
"12","Luke 7:13 
 And when the Lord saw her, he had compassion on her, and said unto her, Weep not. 
"
"13","Luke 10:33 
 But a certain Samaritan, as he journeyed, came where he was: and when he saw him, he had compassion on him, 
"
"14","Luke 15:20 
 And he arose, and came to his father. But when he was yet a great way off, his father saw him, and had compassion, and ran, and fell on his neck, and kissed him. 
"
"15","Romans 9:15 
 For he saith to Moses, I will have mercy on whom I will have mercy, and I will have compassion on whom I will have compassion. 
"
"16","Hebrews 5:2 
 Who can have compassion on the ignorant, and on them that are out of the way; for that he himself also is compassed with infirmity. 
"
"17","Hebrews 10:34 
 For ye had compassion of me in my bonds, and took joyfully the spoiling of your goods, knowing in yourselves that ye have in heaven a better and an enduring substance. 
"
"18","1 Peter 3:8 
 Finally, be ye all of one mind, having compassion one of another, love as brethren, be pitiful, be courteous: 
"
"19","1 John 3:17 
 But whoso hath this world's good, and seeth his brother have need, and shutteth up his bowels of compassion from him, how dwelleth the love of God in him? 
"
"20","Jude 1:22 
 And of some have compassion, making a difference: 
"
"21","Psalms 78:38 
 But he, being full of compassion, forgave their iniquity, and destroyed them not: yea, many a time turned he his anger away, and did not stir up all his wrath. 
"
"22","Psalms 86:15 
 But thou, O Lord, art a God full of compassion, and gracious, longsuffering, and plenteous in mercy and truth. 
"
"23","Psalms 111:4 
 He hath made his wonderful works to be remembered: the LORD is gracious and full of compassion. 
"
"24","Psalms 112:4 
 Unto the upright there ariseth light in the darkness: he is gracious, and full of compassion, and righteous. 
"
"25","Psalms 145:8 
 The LORD is gracious, and full of compassion; slow to anger, and of great mercy. 
"
"26","Matthew 3:17 
 And lo a voice from heaven, saying, This is my beloved Son, in whom I am well pleased. 
"
